iter	Logloss
0	0.6714169074
1	0.6482918667
2	0.6271319086
3	0.6078019345
4	0.587188459
5	0.5694802593
6	0.5520427
7	0.5380675018
8	0.5220945411
9	0.5085799355
10	0.4974601443
11	0.4888408192
12	0.4762877611
13	0.4696470871
14	0.4584002671
15	0.4492984807
16	0.4420049213
17	0.4357391362
18	0.4259198321
19	0.4195257473
20	0.4108250749
21	0.4042269235
22	0.398572419
23	0.3916934034
24	0.3867394419
25	0.381853989
26	0.3753050459
27	0.3691219984
28	0.3635067118
29	0.3584401363
30	0.3515756645
31	0.3466604129
32	0.3426071611
33	0.3379807709
34	0.3331485825
35	0.3285360159
36	0.3248355132
37	0.3195487003
38	0.3134573216
39	0.3087502334
40	0.3050275934
41	0.3009570397
42	0.296590366
43	0.293767509
44	0.2892416689
45	0.2866064656
46	0.2831302468
47	0.2808971744
48	0.2753910926
49	0.2710487271
50	0.2677258479
51	0.2631563022
52	0.2592931797
53	0.2542240157
54	0.2525946403
55	0.2505574383
56	0.2475501005
57	0.2443809908
58	0.2402475865
59	0.2381395204
60	0.2347723265
61	0.231130648
62	0.2290464699
63	0.2251584079
64	0.2206566996
65	0.2184382175
66	0.2155546172
67	0.2124404995
68	0.2095487848
69	0.2076784654
70	0.2057679986
71	0.2055430863
72	0.2039383702
73	0.2002786569
74	0.1981750028
75	0.1960591806
76	0.1933854133
77	0.1905562296
78	0.1879911929
79	0.1865305689
80	0.1832140889
81	0.1817442411
82	0.1788056816
83	0.1778259459
84	0.1753506562
85	0.1740085445
86	0.1722713187
87	0.1706221976
88	0.1689696106
89	0.1671486726
90	0.1639968483
91	0.1622779266
92	0.1590034754
93	0.1566198715
94	0.1551570799
95	0.1529433593
96	0.1512878409
97	0.1494977949
98	0.1473783394
99	0.1456321869
100	0.1435993676
101	0.1416339683
102	0.14094632
103	0.1398788271
104	0.1381441899
105	0.1368851668
106	0.134959034
107	0.132759541
108	0.1309790088
109	0.1290685385
110	0.1276840472
111	0.1259896682
112	0.1242152644
113	0.1231376828
114	0.1216835462
115	0.1204039925
116	0.1188547711
117	0.1177441446
118	0.116702051
119	0.11557202
120	0.1137388513
121	0.1122767849
122	0.1107548809
123	0.1091080606
124	0.1075123816
125	0.1055268763
126	0.1038586544
127	0.1024585941
128	0.1014076799
129	0.1004417308
130	0.09877029706
131	0.09815147412
132	0.0972412273
133	0.09581318007
134	0.09443777445
135	0.0928594327
136	0.09190528499
137	0.09044787912
138	0.08955390484
139	0.08816794724
140	0.08760354538
141	0.08702965886
142	0.08570236516
143	0.08461433699
144	0.0832965106
145	0.08205419334
146	0.0813725881
147	0.08050038839
148	0.07994312111
149	0.07920904681
150	0.07906175732
151	0.07766368591
152	0.07669929542
153	0.07619169368
154	0.07531253656
155	0.07463153281
156	0.0737024261
157	0.07305235513
158	0.07286483437
159	0.07207353918
160	0.07079249749
161	0.06979863658
162	0.06892936037
163	0.06828742362
164	0.06811170691
165	0.0671117044
166	0.0662825343
167	0.06522229675
168	0.06415319276
169	0.06341586655
170	0.06279965949
171	0.06229945319
172	0.06161196258
173	0.06099181048
174	0.06042511315
175	0.05998197818
176	0.05895707061
